UDI,Asset ID,Asset Name,Make / Model,Equipment Class,Criticality Tier,Location,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1646,GR-02,Motor Grader,Caterpillar 16M3,Mobile - road maint.,L,Haul Road Network,L48825,L,297.9,307.8,1538,38.5,123,0,0,0,0,0,0
1647,EX-02,Hydraulic Excavator,Hitachi EX1900-6,Mobile - loading,M,Open Pit - Stage 3,M16506,M,297.9,307.7,1527,42.8,125,0,0,0,0,0,0
1648,CMP-02,Workshop Air Compressor,Atlas Copco GA75,Fixed - support,L,Maintenance Workshop,L48827,L,297.8,307.8,1761,28.9,128,0,0,0,0,0,0
1649,PMP-04,Process Water Pump,Warman AH-series,Fixed - water mgmt,L,Grinding / CIL Circuit,L48828,L,297.9,307.8,1373,50.2,130,0,0,0,0,0,0
1650,ML-01,Ball Mill,Outotec 7.3m,Fixed plant - grinding,H,Grinding / CIL Circuit,H31063,H,298.0,307.9,1482,37.8,132,0,0,0,0,0,0
1651,DR-03,Down-the-Hole Drill,Epiroc SmartROC D65,Mobile - drilling,M,Open Pit - Stage 2,M16510,M,298.0,307.9,1417,51.0,137,0,0,0,0,0,0
1652,GEN-02,Standby Generator,Cummins C1100 D5,Fixed - power,L,Grinding / CIL Circuit,L48831,L,298.0,307.8,1414,51.7,140,0,0,0,0,0,0
1653,ML-01,Ball Mill,Outotec 7.3m,Fixed plant - grinding,H,Grinding / CIL Circuit,H31066,H,297.9,307.8,1635,34.0,142,0,0,0,0,0,0
1654,LV-04,Light Vehicle,Toyota LandCruiser 79,Mobile - light vehicle,L,Maintenance Workshop,L48833,L,298.0,307.8,1386,57.3,147,0,0,0,0,0,0
1655,DZ-01,Track Dozer,Caterpillar D10T2,Mobile - earthmoving,L,Open Pit - Stage 3,L48834,L,298.2,308.1,1379,62.3,149,0,0,0,0,0,0
1656,EX-02,Hydraulic Excavator,Hitachi EX1900-6,Mobile - loading,M,Open Pit - Stage 3,M16515,M,298.2,308.0,1577,35.9,151,0,0,0,0,0,0
1657,LV-03,Light Vehicle,Toyota LandCruiser 79,Mobile - light vehicle,L,ROM Pad,L48836,L,298.2,308.1,1532,42.5,154,0,0,0,0,0,0
1658,HT-03,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 3,M16517,M,298.1,308.0,1374,48.8,156,0,0,0,0,0,0
1659,ML-01,Ball Mill,Outotec 7.3m,Fixed plant - grinding,H,Grinding / CIL Circuit,H31072,H,298.1,308.0,1570,35.3,159,0,0,0,0,0,0
1660,LV-06,Light Vehicle,Toyota HiLux,Mobile - light vehicle,L,Tailings Storage Facility,L48839,L,298.1,308.0,1697,31.0,164,0,0,0,0,0,0
1661,GEN-04,Standby Generator,Cummins C700 D5,Fixed - power,L,Tailings Storage Facility,L48840,L,298.2,308.0,1499,44.1,166,0,0,0,0,0,0
1662,HT-06,Rigid Dump Truck,Komatsu HD785-8,Mobile - hauling,M,ROM Pad,M16521,M,298.2,308.0,1411,47.2,168,0,0,0,0,0,0
1663,PC-01,Primary Jaw Crusher,Metso Nordberg C160,Fixed plant - crushing,H,Primary Crushing Circuit,H31076,H,298.2,307.9,1462,45.5,171,0,0,0,0,0,0
1664,LD-01,Wheel Loader,Caterpillar 992K,Mobile - loading,M,ROM Pad,M16523,M,298.1,307.9,1759,28.6,176,0,0,0,0,0,0
1665,FD-01,Apron Feeder,Metso apron feeder,Fixed plant - feed,L,Primary Crushing Circuit,L48844,L,298.2,308.0,1535,38.0,179,0,0,0,0,0,0
1666,CV-01,Overland Conveyor (1.4 km),Continental steel-cord,Fixed plant - conveying,H,Conveyor Corridor,H31079,H,298.2,307.9,1491,39.7,181,0,0,0,0,0,0
1667,GEN-04,Standby Generator,Cummins C700 D5,Fixed - power,L,Tailings Storage Facility,L48846,L,298.2,307.9,1551,36.0,186,0,0,0,0,0,0
1668,DZ-01,Track Dozer,Caterpillar D10T2,Mobile - earthmoving,L,Open Pit - Stage 3,L48847,L,298.2,307.9,1769,27.2,188,0,0,0,0,0,0
1669,WC-01,Water Cart,Caterpillar 777 (74 kL),Mobile - dust supp.,L,Haul Road Network,L48848,L,298.2,307.9,1551,34.1,190,0,0,0,0,0,0
1670,GEN-04,Standby Generator,Cummins C700 D5,Fixed - power,L,Tailings Storage Facility,L48849,L,298.2,307.9,1544,31.4,192,0,0,0,0,0,0
1671,GEN-02,Standby Generator,Cummins C1100 D5,Fixed - power,L,Grinding / CIL Circuit,L48850,L,298.2,307.8,1528,31.1,194,0,0,0,0,0,0
1672,GEN-01,Standby Generator,Cummins C1100 D5,Fixed - power,L,Primary Crushing Circuit,L48851,L,298.1,307.9,1614,35.8,196,0,0,0,0,0,0
1673,WC-03,Water Cart,Caterpillar 773 (55 kL),Mobile - dust supp.,L,Open Pit - Stage 3,L48852,L,298.1,307.8,1432,49.8,198,0,0,0,0,0,0
1674,HT-03,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 3,M16533,M,298.1,307.8,1384,43.7,200,0,0,0,0,0,0
1675,GR-01,Motor Grader,Caterpillar 16M3,Mobile - road maint.,L,Haul Road Network,L48854,L,298.1,307.8,1540,37.8,203,0,0,0,0,0,0
1676,GEN-02,Standby Generator,Cummins C1100 D5,Fixed - power,L,Grinding / CIL Circuit,L48855,L,298.0,307.7,1407,43.9,205,0,0,0,0,0,0
1677,TH-01,CIL Thickener Drive,Outotec high-rate,Fixed plant - processing,H,Grinding / CIL Circuit,H31090,H,297.9,307.6,1418,43.0,207,0,0,0,0,0,0
1678,HT-04,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 2,M16537,M,297.9,307.5,1647,30.8,212,0,0,0,0,0,0
1679,FD-01,Apron Feeder,Metso apron feeder,Fixed plant - feed,L,Primary Crushing Circuit,L48858,L,298.0,307.5,1644,32.8,215,0,0,0,0,0,0
1680,LV-06,Light Vehicle,Toyota HiLux,Mobile - light vehicle,L,Tailings Storage Facility,L48859,L,298.0,307.5,1792,27.9,217,0,0,0,0,0,0
1681,HT-05,Rigid Dump Truck,Komatsu HD785-8,Mobile - hauling,M,Open Pit - Stage 2,M16540,M,297.9,307.4,1610,34.6,219,0,0,0,0,0,0
1682,EX-01,Hydraulic Excavator,Komatsu PC2000-11,Mobile - loading,M,Open Pit - Stage 3,M16541,M,297.8,307.3,1804,26.0,222,0,0,0,0,0,0
1683,TH-01,CIL Thickener Drive,Outotec high-rate,Fixed plant - processing,H,Grinding / CIL Circuit,H31096,H,297.9,307.4,1604,36.1,225,1,1,0,0,0,0
1684,LD-02,Wheel Loader,Komatsu WA600-8,Mobile - loading,M,ROM Pad,M16543,M,297.9,307.4,1403,52.8,0,0,0,0,0,0,0
1685,LV-02,Light Vehicle,Toyota LandCruiser 79,Mobile - light vehicle,L,Open Pit - Stage 2,L48864,L,297.8,307.3,1438,44.5,3,0,0,0,0,0,0
1686,GEN-03,Standby Generator,Cummins C700 D5,Fixed - power,L,Maintenance Workshop,L48865,L,297.9,307.3,1824,26.3,5,0,0,0,0,0,0
1687,PC-01,Primary Jaw Crusher,Metso Nordberg C160,Fixed plant - crushing,H,Primary Crushing Circuit,H31100,H,297.9,307.3,1663,28.7,7,0,0,0,0,0,0
1688,DZ-01,Track Dozer,Caterpillar D10T2,Mobile - earthmoving,L,Open Pit - Stage 3,L48867,L,297.9,307.3,1502,36.7,12,0,0,0,0,0,0
1689,GEN-01,Standby Generator,Cummins C1100 D5,Fixed - power,L,Primary Crushing Circuit,L48868,L,297.9,307.4,1606,35.5,14,0,0,0,0,0,0
1690,CMP-01,Workshop Air Compressor,Atlas Copco GA75,Fixed - support,L,Maintenance Workshop,L48869,L,297.9,307.5,1561,37.7,16,0,0,0,0,0,0
1691,HT-03,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 3,M16550,M,297.9,307.4,1435,42.9,18,0,0,0,0,0,0
1692,GEN-01,Standby Generator,Cummins C1100 D5,Fixed - power,L,Primary Crushing Circuit,L48871,L,297.9,307.5,1602,38.3,21,0,0,0,0,0,0
1693,HT-01,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 3,M16552,M,298.1,307.6,1764,27.7,23,0,0,0,0,0,0
1694,SC-01,Secondary Cone Crusher,Sandvik CH870i,Fixed plant - crushing,H,Primary Crushing Circuit,H31107,H,298.0,307.5,1683,27.8,26,0,0,0,0,0,0
1695,SV-02,Service / Lube Truck,Isuzu FVZ service body,Mobile - field maint.,L,Maintenance Workshop,L48874,L,298.0,307.5,1618,35.2,31,0,0,0,0,0,0
1696,PMP-04,Process Water Pump,Warman AH-series,Fixed - water mgmt,L,Grinding / CIL Circuit,L48875,L,298.0,307.6,1509,41.6,33,0,0,0,0,0,0
1697,GEN-02,Standby Generator,Cummins C1100 D5,Fixed - power,L,Grinding / CIL Circuit,L48876,L,297.9,307.6,1550,39.0,35,0,0,0,0,0,0
1698,DR-01,Rotary Blasthole Drill,Epiroc Pit Viper 271,Mobile - drilling,M,Open Pit - Stage 3,M16557,M,297.9,307.6,1519,44.0,37,0,0,0,0,0,0
1699,LV-01,Light Vehicle,Toyota LandCruiser 79,Mobile - light vehicle,L,Open Pit - Stage 3,L48878,L,297.9,307.6,1481,38.0,40,0,0,0,0,0,0
1700,PMP-04,Process Water Pump,Warman AH-series,Fixed - water mgmt,L,Grinding / CIL Circuit,L48879,L,298.1,307.7,1289,48.3,42,0,0,0,0,0,0
1701,LD-01,Wheel Loader,Caterpillar 992K,Mobile - loading,M,ROM Pad,M16560,M,298.0,307.6,1844,23.8,44,0,0,0,0,0,0
1702,WC-04,Water Cart,Caterpillar 773 (55 kL),Mobile - dust supp.,L,Open Pit - Stage 2,L48881,L,298.0,307.7,1479,42.5,47,0,0,0,0,0,0
1703,GR-02,Motor Grader,Caterpillar 16M3,Mobile - road maint.,L,Haul Road Network,L48882,L,298.0,307.7,1430,47.3,49,0,0,0,0,0,0
1704,LD-01,Wheel Loader,Caterpillar 992K,Mobile - loading,M,ROM Pad,M16563,M,298.1,307.8,1636,36.7,51,0,0,0,0,0,0
1705,HT-05,Rigid Dump Truck,Komatsu HD785-8,Mobile - hauling,M,Open Pit - Stage 2,M16564,M,298.1,307.8,1503,44.7,54,0,0,0,0,0,0
1706,EX-02,Hydraulic Excavator,Hitachi EX1900-6,Mobile - loading,M,Open Pit - Stage 3,M16565,M,298.1,307.8,1608,32.6,57,0,0,0,0,0,0
1707,WC-01,Water Cart,Caterpillar 777 (74 kL),Mobile - dust supp.,L,Haul Road Network,L48886,L,298.2,307.8,1521,42.9,60,0,0,0,0,0,0
1708,GEN-04,Standby Generator,Cummins C700 D5,Fixed - power,L,Tailings Storage Facility,L48887,L,298.2,307.8,1439,41.6,62,0,0,0,0,0,0
1709,GEN-02,Standby Generator,Cummins C1100 D5,Fixed - power,L,Grinding / CIL Circuit,L48888,L,298.2,307.8,1627,31.5,64,0,0,0,0,0,0
1710,FD-02,Belt Feeder,Metso belt feeder,Fixed plant - feed,L,ROM Pad,L48889,L,298.2,307.8,1749,26.1,66,0,0,0,0,0,0
1711,WC-01,Water Cart,Caterpillar 777 (74 kL),Mobile - dust supp.,L,Haul Road Network,L48890,L,298.2,307.8,1530,35.9,68,0,0,0,0,0,0
1712,DZ-02,Wheel Dozer,Komatsu WD600-6,Mobile - earthmoving,L,ROM Pad,L48891,L,298.2,307.8,1355,51.3,70,0,0,0,0,0,0
1713,PMP-04,Process Water Pump,Warman AH-series,Fixed - water mgmt,L,Grinding / CIL Circuit,L48892,L,298.3,307.9,1551,33.8,72,0,0,0,0,0,0
1714,CMP-02,Workshop Air Compressor,Atlas Copco GA75,Fixed - support,L,Maintenance Workshop,L48893,L,298.2,307.8,1515,46.7,74,0,0,0,0,0,0
1715,DZ-02,Wheel Dozer,Komatsu WD600-6,Mobile - earthmoving,L,ROM Pad,L48894,L,298.2,307.8,1388,48.6,76,0,0,0,0,0,0
1716,CMP-02,Workshop Air Compressor,Atlas Copco GA75,Fixed - support,L,Maintenance Workshop,L48895,L,298.2,307.8,1585,34.6,78,0,0,0,0,0,0
1717,PMP-04,Process Water Pump,Warman AH-series,Fixed - water mgmt,L,Grinding / CIL Circuit,L48896,L,298.1,307.7,1523,37.7,80,0,0,0,0,0,0
1718,DZ-01,Track Dozer,Caterpillar D10T2,Mobile - earthmoving,L,Open Pit - Stage 3,L48897,L,298.2,307.6,1369,54.5,82,0,0,0,0,0,0
1719,LD-01,Wheel Loader,Caterpillar 992K,Mobile - loading,M,ROM Pad,M16578,M,298.2,307.7,1681,31.0,84,0,0,0,0,0,0
1720,GEN-03,Standby Generator,Cummins C700 D5,Fixed - power,L,Maintenance Workshop,L48899,L,298.2,307.7,1503,38.3,87,0,0,0,0,0,0
1721,LV-01,Light Vehicle,Toyota LandCruiser 79,Mobile - light vehicle,L,Open Pit - Stage 3,L48900,L,298.2,307.7,1459,44.5,89,0,0,0,0,0,0
1722,GR-01,Motor Grader,Caterpillar 16M3,Mobile - road maint.,L,Haul Road Network,L48901,L,298.2,307.7,1688,32.4,91,0,0,0,0,0,0
1723,HT-03,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 3,M16582,M,298.2,307.7,1952,21.6,93,0,0,0,0,0,0
1724,LV-06,Light Vehicle,Toyota HiLux,Mobile - light vehicle,L,Tailings Storage Facility,L48903,L,298.2,307.8,2029,19.9,96,0,0,0,0,0,0
1725,HT-06,Rigid Dump Truck,Komatsu HD785-8,Mobile - hauling,M,ROM Pad,M16584,M,298.3,307.8,1457,52.5,98,0,0,0,0,0,0
1726,HT-01,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 3,M16585,M,298.3,307.8,1392,50.4,101,0,0,0,0,0,0
1727,WC-04,Water Cart,Caterpillar 773 (55 kL),Mobile - dust supp.,L,Open Pit - Stage 2,L48906,L,298.3,307.8,1906,22.1,104,0,0,0,0,0,0
1728,HT-06,Rigid Dump Truck,Komatsu HD785-8,Mobile - hauling,M,ROM Pad,M16587,M,298.3,307.7,1602,33.4,106,0,0,0,0,0,0
1729,SV-02,Service / Lube Truck,Isuzu FVZ service body,Mobile - field maint.,L,Maintenance Workshop,L48908,L,298.3,307.7,1465,49.4,109,0,0,0,0,0,0
1730,HT-05,Rigid Dump Truck,Komatsu HD785-8,Mobile - hauling,M,Open Pit - Stage 2,M16589,M,298.3,307.7,1439,43.8,111,0,0,0,0,0,0
1731,DR-02,Rotary Blasthole Drill,Sandvik DR410i,Mobile - drilling,M,Open Pit - Stage 2,M16590,M,298.3,307.8,1330,55.4,114,0,0,0,0,0,0
1732,DR-01,Rotary Blasthole Drill,Epiroc Pit Viper 271,Mobile - drilling,M,Open Pit - Stage 3,M16591,M,298.3,307.9,1485,42.0,117,0,0,0,0,0,0
1733,CV-01,Overland Conveyor (1.4 km),Continental steel-cord,Fixed plant - conveying,H,Conveyor Corridor,H31146,H,298.4,307.9,1700,28.2,120,0,0,0,0,0,0
1734,PMP-01,Pit Dewatering Pump,Grundfos S-series,Fixed - water mgmt,L,Open Pit - Stage 3,L48913,L,298.4,308.0,1515,42.8,125,0,0,0,0,0,0
1735,DR-01,Rotary Blasthole Drill,Epiroc Pit Viper 271,Mobile - drilling,M,Open Pit - Stage 3,M16594,M,298.5,308.1,1501,39.2,127,0,0,0,0,0,0
1736,GEN-04,Standby Generator,Cummins C700 D5,Fixed - power,L,Tailings Storage Facility,L48915,L,298.4,308.0,1380,47.6,130,0,0,0,0,0,0
1737,CMP-03,Plant Air Compressor,Atlas Copco GA160,Fixed - support,L,Grinding / CIL Circuit,L48916,L,298.4,307.9,1544,35.9,132,0,0,0,0,0,0
1738,GEN-03,Standby Generator,Cummins C700 D5,Fixed - power,L,Maintenance Workshop,L48917,L,298.4,307.9,1743,27.3,134,0,0,0,0,0,0
1739,PC-01,Primary Jaw Crusher,Metso Nordberg C160,Fixed plant - crushing,H,Primary Crushing Circuit,H31152,H,298.4,307.9,1948,21.4,136,0,0,0,0,0,0
1740,SC-01,Secondary Cone Crusher,Sandvik CH870i,Fixed plant - crushing,H,Primary Crushing Circuit,H31153,H,298.5,307.9,1260,54.2,141,0,0,0,0,0,0
1741,HT-04,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 2,M16600,M,298.5,307.9,1640,33.1,146,0,0,0,0,0,0
1742,EX-01,Hydraulic Excavator,Komatsu PC2000-11,Mobile - loading,M,Open Pit - Stage 3,M16601,M,298.5,308.0,1363,49.2,149,0,0,0,0,0,0
1743,SV-02,Service / Lube Truck,Isuzu FVZ service body,Mobile - field maint.,L,Maintenance Workshop,L48922,L,298.5,308.0,1379,49.6,152,0,0,0,0,0,0
1744,DR-02,Rotary Blasthole Drill,Sandvik DR410i,Mobile - drilling,M,Open Pit - Stage 2,M16603,M,298.5,308.0,1713,25.8,154,0,0,0,0,0,0
1745,HT-05,Rigid Dump Truck,Komatsu HD785-8,Mobile - hauling,M,Open Pit - Stage 2,M16604,M,298.5,308.0,1461,51.9,157,0,0,0,0,0,0
1746,LV-05,Light Vehicle,Toyota HiLux,Mobile - light vehicle,L,Haul Road Network,L48925,L,298.5,308.0,1624,29.8,160,0,0,0,0,0,0
1747,GEN-02,Standby Generator,Cummins C1100 D5,Fixed - power,L,Grinding / CIL Circuit,L48926,L,298.4,308.0,1526,41.1,162,0,0,0,0,0,0
1748,DZ-02,Wheel Dozer,Komatsu WD600-6,Mobile - earthmoving,L,ROM Pad,L48927,L,298.4,307.9,2381,14.2,164,0,0,0,0,0,0
1749,CV-01,Overland Conveyor (1.4 km),Continental steel-cord,Fixed plant - conveying,H,Conveyor Corridor,H31162,H,298.4,307.7,1626,31.1,166,0,0,0,0,0,1
1750,GEN-01,Standby Generator,Cummins C1100 D5,Fixed - power,L,Primary Crushing Circuit,L48929,L,298.3,307.7,1576,33.8,171,0,0,0,0,0,0
1751,HT-04,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 2,M16610,M,298.4,307.8,1617,31.6,173,0,0,0,0,0,0
1752,SV-02,Service / Lube Truck,Isuzu FVZ service body,Mobile - field maint.,L,Maintenance Workshop,L48931,L,298.3,307.6,1942,20.6,176,0,0,0,0,0,0
1753,CMP-01,Workshop Air Compressor,Atlas Copco GA75,Fixed - support,L,Maintenance Workshop,L48932,L,298.2,307.6,1492,37.2,178,0,0,0,0,0,0
1754,PMP-03,Tailings Transfer Pump,Warman AH-series,Fixed - water mgmt,L,Tailings Storage Facility,L48933,L,298.2,307.5,1470,51.3,180,0,0,0,0,0,0
1755,EX-02,Hydraulic Excavator,Hitachi EX1900-6,Mobile - loading,M,Open Pit - Stage 3,M16614,M,298.0,307.4,1463,46.5,182,0,0,0,0,0,0
1756,PMP-03,Tailings Transfer Pump,Warman AH-series,Fixed - water mgmt,L,Tailings Storage Facility,L48935,L,298.0,307.3,1424,46.5,185,0,0,0,0,0,0
1757,DR-03,Down-the-Hole Drill,Epiroc SmartROC D65,Mobile - drilling,M,Open Pit - Stage 2,M16616,M,298.1,307.4,1363,60.1,187,0,0,0,0,0,0
1758,HT-04,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 2,M16617,M,298.1,307.4,1335,56.2,190,0,0,0,0,0,0
1759,LV-03,Light Vehicle,Toyota LandCruiser 79,Mobile - light vehicle,L,ROM Pad,L48938,L,298.1,307.4,1608,33.9,193,0,0,0,0,0,0
1760,ML-01,Ball Mill,Outotec 7.3m,Fixed plant - grinding,H,Grinding / CIL Circuit,H31173,H,298.0,307.4,1606,35.2,195,0,0,0,0,0,0
1761,LV-03,Light Vehicle,Toyota LandCruiser 79,Mobile - light vehicle,L,ROM Pad,L48940,L,298.1,307.5,1684,33.1,200,0,0,0,0,0,0
1762,WC-02,Water Cart,Caterpillar 777 (74 kL),Mobile - dust supp.,L,Haul Road Network,L48941,L,298.1,307.6,1950,20.3,202,0,0,0,0,0,0
1763,TH-01,CIL Thickener Drive,Outotec high-rate,Fixed plant - processing,H,Grinding / CIL Circuit,H31176,H,298.2,307.6,1460,48.6,204,0,0,0,0,0,0
1764,PMP-04,Process Water Pump,Warman AH-series,Fixed - water mgmt,L,Grinding / CIL Circuit,L48943,L,298.2,307.6,1511,31.0,209,1,1,0,0,0,0
1765,PC-01,Primary Jaw Crusher,Metso Nordberg C160,Fixed plant - crushing,H,Primary Crushing Circuit,H31178,H,298.2,307.6,1318,55.7,0,0,0,0,0,0,0
1766,GEN-04,Standby Generator,Cummins C700 D5,Fixed - power,L,Tailings Storage Facility,L48945,L,298.2,307.6,1368,51.8,5,0,0,0,0,0,0
1767,DR-01,Rotary Blasthole Drill,Epiroc Pit Viper 271,Mobile - drilling,M,Open Pit - Stage 3,M16626,M,298.3,307.7,1717,27.1,7,0,0,0,0,0,0
1768,EX-02,Hydraulic Excavator,Hitachi EX1900-6,Mobile - loading,M,Open Pit - Stage 3,M16627,M,298.3,307.7,1520,41.4,10,0,0,0,0,0,0
1769,HT-05,Rigid Dump Truck,Komatsu HD785-8,Mobile - hauling,M,Open Pit - Stage 2,M16628,M,298.3,307.8,1485,42.0,13,0,0,0,0,0,0
1770,GEN-01,Standby Generator,Cummins C1100 D5,Fixed - power,L,Primary Crushing Circuit,L48949,L,298.4,307.9,1981,23.2,16,0,0,0,0,0,0
1771,SC-01,Secondary Cone Crusher,Sandvik CH870i,Fixed plant - crushing,H,Primary Crushing Circuit,H31184,H,298.4,307.9,1605,31.0,18,0,0,0,0,0,0
1772,CMP-03,Plant Air Compressor,Atlas Copco GA160,Fixed - support,L,Grinding / CIL Circuit,L48951,L,298.4,307.9,1446,45.3,23,0,0,0,0,0,0
1773,CMP-03,Plant Air Compressor,Atlas Copco GA160,Fixed - support,L,Grinding / CIL Circuit,L48952,L,298.4,308.0,1508,47.9,25,0,0,0,0,0,0
1774,DZ-02,Wheel Dozer,Komatsu WD600-6,Mobile - earthmoving,L,ROM Pad,L48953,L,298.5,308.0,1384,59.5,27,0,0,0,0,0,0
1775,DR-03,Down-the-Hole Drill,Epiroc SmartROC D65,Mobile - drilling,M,Open Pit - Stage 2,M16634,M,298.5,308.0,1519,37.3,29,0,0,0,0,0,0
1776,GR-02,Motor Grader,Caterpillar 16M3,Mobile - road maint.,L,Haul Road Network,L48955,L,298.5,308.0,1404,48.1,32,0,0,0,0,0,0
1777,GEN-04,Standby Generator,Cummins C700 D5,Fixed - power,L,Tailings Storage Facility,L48956,L,298.5,308.1,1564,31.1,34,0,0,0,0,0,0
1778,PC-01,Primary Jaw Crusher,Metso Nordberg C160,Fixed plant - crushing,H,Primary Crushing Circuit,H31191,H,298.6,308.2,1555,36.8,36,0,0,0,0,0,0
1779,DZ-02,Wheel Dozer,Komatsu WD600-6,Mobile - earthmoving,L,ROM Pad,L48958,L,298.6,308.2,1325,54.0,41,0,0,0,0,0,0
1780,HT-05,Rigid Dump Truck,Komatsu HD785-8,Mobile - hauling,M,Open Pit - Stage 2,M16639,M,298.6,308.2,1488,44.0,43,0,0,0,0,0,0
1781,LV-05,Light Vehicle,Toyota HiLux,Mobile - light vehicle,L,Haul Road Network,L48960,L,298.5,308.2,1595,32.3,46,0,0,0,0,0,0
1782,GR-02,Motor Grader,Caterpillar 16M3,Mobile - road maint.,L,Haul Road Network,L48961,L,298.5,308.1,1662,28.6,48,0,0,0,0,0,0
1783,GR-01,Motor Grader,Caterpillar 16M3,Mobile - road maint.,L,Haul Road Network,L48962,L,298.4,308.0,1571,37.4,50,0,0,0,0,0,0
1784,PC-01,Primary Jaw Crusher,Metso Nordberg C160,Fixed plant - crushing,H,Primary Crushing Circuit,H31197,H,298.3,308.0,1553,41.0,52,0,0,0,0,0,0
1785,GR-01,Motor Grader,Caterpillar 16M3,Mobile - road maint.,L,Haul Road Network,L48964,L,298.3,308.0,2886,3.8,57,1,0,0,1,0,0
1786,LV-04,Light Vehicle,Toyota LandCruiser 79,Mobile - light vehicle,L,Maintenance Workshop,L48965,L,298.2,308.0,1538,38.2,59,0,0,0,0,0,0
1787,WC-01,Water Cart,Caterpillar 777 (74 kL),Mobile - dust supp.,L,Haul Road Network,L48966,L,298.4,308.2,1618,33.0,61,0,0,0,0,0,0
1788,CMP-03,Plant Air Compressor,Atlas Copco GA160,Fixed - support,L,Grinding / CIL Circuit,L48967,L,298.4,308.2,1364,45.9,63,0,0,0,0,0,0
1789,LV-05,Light Vehicle,Toyota HiLux,Mobile - light vehicle,L,Haul Road Network,L48968,L,298.3,308.0,1442,47.3,65,0,0,0,0,0,0
1790,WC-01,Water Cart,Caterpillar 777 (74 kL),Mobile - dust supp.,L,Haul Road Network,L48969,L,298.2,307.9,1313,67.3,67,1,0,0,1,0,0
1791,WC-04,Water Cart,Caterpillar 773 (55 kL),Mobile - dust supp.,L,Open Pit - Stage 2,L48970,L,298.2,307.9,1847,23.6,69,0,0,0,0,0,0
1792,SV-01,Service / Lube Truck,Isuzu FVZ service body,Mobile - field maint.,L,Haul Road Network,L48971,L,298.1,307.8,1524,40.8,71,0,0,0,0,0,0
1793,LD-02,Wheel Loader,Komatsu WA600-8,Mobile - loading,M,ROM Pad,M16652,M,298.1,307.7,1445,48.0,73,0,0,0,0,0,0
1794,LV-01,Light Vehicle,Toyota LandCruiser 79,Mobile - light vehicle,L,Open Pit - Stage 3,L48973,L,298.1,307.8,1761,28.2,76,0,0,0,0,0,0
1795,DR-01,Rotary Blasthole Drill,Epiroc Pit Viper 271,Mobile - drilling,M,Open Pit - Stage 3,M16654,M,298.1,307.8,1514,43.5,78,0,0,0,0,0,0
1796,EX-01,Hydraulic Excavator,Komatsu PC2000-11,Mobile - loading,M,Open Pit - Stage 3,M16655,M,298.1,307.7,1498,38.3,81,0,0,0,0,0,0
1797,ML-01,Ball Mill,Outotec 7.3m,Fixed plant - grinding,H,Grinding / CIL Circuit,H31210,H,298.1,307.6,1542,37.1,84,0,0,0,0,0,0
1798,EX-01,Hydraulic Excavator,Komatsu PC2000-11,Mobile - loading,M,Open Pit - Stage 3,M16657,M,298.0,307.6,1508,41.8,89,0,0,0,0,0,0
1799,LD-01,Wheel Loader,Caterpillar 992K,Mobile - loading,M,ROM Pad,M16658,M,298.0,307.5,1431,52.9,92,0,0,0,0,0,0
1800,HT-01,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 3,M16659,M,298.0,307.5,1427,45.1,95,0,0,0,0,0,0
1801,LD-01,Wheel Loader,Caterpillar 992K,Mobile - loading,M,ROM Pad,M16660,M,298.0,307.5,1524,36.3,98,0,0,0,0,0,0
1802,HT-04,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 2,M16661,M,298.0,307.5,1427,43.6,101,0,0,0,0,0,0
1803,CV-01,Overland Conveyor (1.4 km),Continental steel-cord,Fixed plant - conveying,H,Conveyor Corridor,H31216,H,298.1,307.6,1496,44.1,104,0,0,0,0,0,0
1804,LV-04,Light Vehicle,Toyota LandCruiser 79,Mobile - light vehicle,L,Maintenance Workshop,L48983,L,298.1,307.7,1388,40.3,109,0,0,0,0,0,0
1805,WC-04,Water Cart,Caterpillar 773 (55 kL),Mobile - dust supp.,L,Open Pit - Stage 2,L48984,L,298.1,307.7,1495,48.1,111,0,0,0,0,0,0
1806,CV-01,Overland Conveyor (1.4 km),Continental steel-cord,Fixed plant - conveying,H,Conveyor Corridor,H31219,H,298.1,307.7,1376,56.2,113,0,0,0,0,0,0
